,iata,name,municipalityName,countryCode,lat,lon,from,averageDailyFlights,dist,co2KGPerPerson,percentageco2(%)
181,DTW,"Detroit Metropolitan Wayne County, Detroit",Detroit,US,42.2124,-83.3534,JFK,6.59,818.72,94.15,2.59456450448365
182,CMH,"Port Columbus, Columbus",Columbus,US,39.998,-82.8919,JFK,6.44,777.55,89.42,2.46421622932478
183,MEX,"Licenciado Benito Juarez, Mexico City",Mexico City,MX,19.4363,-99.0721,JFK,6.43,3363.88,386.85,10.660725210403612
184,LAS,"McCarran, Las Vegas",Las Vegas,US,36.0801,-115.152,JFK,6.36,3617.74,416.04,11.465136659005609
185,CUN,"Cancún, Cancún",Cancún,MX,21.0365,-86.8771,JFK,6.33,2502.24,287.76,7.930025298037336
186,IND,"Indianapolis, Indianapolis",Indianapolis,US,39.7173,-86.2944,JFK,6.02,1070.02,123.05,3.3909841983718865
187,DFW,"Dallas Fort Worth, Dallas-Fort Worth",Dallas-Fort Worth,US,32.8968,-97.038,JFK,5.9,2238.76,257.46,7.095024719324063
188,YYZ,"Lester B. Pearson, Toronto",Toronto,CA,43.6772,-79.6306,JFK,5.82,589.38,67.78,1.867865981029228
189,TPA,"Tampa, Tampa",Tampa,US,27.9755,-82.5332,JFK,5.79,1617.65,186.03,5.1265728600009925
190,AUS,"Austin Bergstrom, Austin",Austin,US,30.194498,-97.6699,JFK,5.64,2448.62,281.59,7.7599938270584286
191,BTV,"Burlington, Burlington",Burlington,US,44.4719,-73.1533,JFK,5.58,428.6,49.29,1.3583227235900064
192,MBJ,"Sangster, Montego Bay",Montego Bay,JM,18.5037,-77.9134,JFK,5.57,2485.71,285.86,7.877665525774788
193,ROC,"Greater Rochester, Rochester",Rochester,US,43.1189,-77.6724,JFK,5.57,424.44,48.81,1.3450949916499944
194,PHX,"Phoenix Sky Harbor, Phoenix",Phoenix,US,33.4343,-112.012,JFK,5.47,3465.47,398.53,10.982600020943908
195,SLC,"Salt Lake City, Salt Lake City",Salt Lake City,US,40.7884,-111.978,JFK,5.4,3201.77,368.2,10.146772708984386
196,CVG,"Cincinnati Northern Kentucky, Cincinnati",Cincinnati,US,39.0488,-84.6678,JFK,5.29,947.98,109.02,3.004348616875279
197,SAN,"San Diego, San Diego",San Diego,US,32.7336,-117.19,JFK,5.16,3936.35,452.68,12.47485353042654
198,CLE,"Cleveland Hopkins, Cleveland",Cleveland,US,41.4117,-81.8498,JFK,5.14,683.96,78.66,2.167694571669505
199,MSP,"Minneapolis-St Paul /Wold-Chamberlain, Minneapolis",Minneapolis,US,44.882,-93.2218,JFK,5.14,1655.19,190.35,5.245622447461103
200,CHS,"Charleston Air Force Base-, Charleston",Charleston,US,32.8986,-80.0405,JFK,5.01,1024.45,117.81,3.246581458026753
201,JAX,"Jacksonville, Jacksonville",Jacksonville,US,30.4941,-81.6879,JFK,5.0,1333.42,153.34,4.225709199336409
202,ORF,"Norfolk, Norfolk",Norfolk,US,36.8946,-76.2012,JFK,4.93,466.15,53.61,1.477372311050117
203,LGW,"London Gatwick, London",London,GB,51.1481,-0.190277,JFK,4.86,5583.58,642.11,17.695122825002617
204,PUJ,"Punta Cana, Punta Cana",Punta Cana,DO,18.567398,-68.3634,JFK,4.86,2501.18,287.64,7.9267183650523325
205,RSW,"Southwest Florida, Fort Myers",Fort Myers,US,26.5362,-81.7552,JFK,4.43,1728.95,198.83,5.479312378401319
206,PIT,"Pittsburgh, Pittsburgh",Pittsburgh,US,40.4915,-80.2329,JFK,4.42,546.75,62.88,1.7328328841416032
207,AMS,"Amsterdam Schiphol, Amsterdam",Amsterdam,NL,52.3086,4.763889,JFK,4.14,5863.18,674.27,18.58138086498344
208,BOG,"El Dorado, Bogotá",Bogotá,CO,4.70159,-74.1469,JFK,4.0,3981.02,457.82,12.616500493284171
209,NAS,"Lynden Pindling, Nassau",Nassau,BS,25.039,-77.4662,JFK,4.0,1764.0,202.86,5.590370211147672
